"Bhagyanagar India Limited",BAGYAMETAL,BHAGYNAGAR,2006-09-12
"Federal-Mogul Goetze (India) Limited.",GOETZEIND,FMGOETZE,2006-09-12
"Adani Enterprises Limited",ADANIEXPO,ADANIENT,2006-09-20
"Aztecsoft Limited",AZTEC,AZTECSOFT,2006-09-20
"Elecon Engineering Company Limited",ELECONENGG,ELECON,2006-09-29
"Vardhman Textiles Limited",MAHAVIRSPG,VTL,2006-10-11
"Apcotex Industries Limited",APCOTEXLAT,APCOTEXIND,2006-11-01
"Precot Meridian Limited",PRECOTMILL,PRECOT,2006-11-01
"Bharat Bijlee Limited",BARATBIJLE,BBL,2006-11-21
"Aftek Limited",AFTEKINFO,AFTEK,2006-11-27
"SI Group - India Limited",SCHENHERD,SIGROUPIND,2006-11-28
"Blue Coast Hotels Limited",MOREPENHTL,BLUECOAST,2006-12-05
"Brabourne Enterprises Limited",SEARLEIND,RPGLS,2006-12-05
"RPG Transmission Limited",SAELTD,RPGTLTD,2006-12-05
"MM Forgings Limited",MMFORGINGS,MMFL,2006-12-20
"Spentex Industries Limited",SPENTXIND,SPENTEX,2006-12-20
"Banco Products (I) Limited",BANCOPROD,BANCOINDIA,2006-12-22
"MphasiS Limited",MPHASISBFL,MPHASIS,2006-12-26
"Crest Ventures Limited",SHARYANRES,SHARRESLTD,2006-12-27
"Sathavahana Ispat Limited",SATHVANISP,SATHAISPAT,2006-12-27
"Kesar Enterprises Limited",KESARENTER,KESARENT,2007-01-02
"Nilkamal Limited",NILKAMPLST,NILKAMAL,2007-01-05
"IG Petrochemicals Limited",IGPETRO,IGPL,2007-01-29
"Sagar Cements Limited",SAGARCEM,SAGCEM,2007-01-29
"Siyaram Silk Mills Limited",SIYARSILK,SIYSIL,2007-01-29
"Timken India Limited",TATATIMKEN,TIMKEN,2007-02-06
"TVS Srichakra Limited",SRICHAKTYR,TVSSRICHAK,2007-02-13
"Zee Entertainment Enterprises Limited",ZEETELE,ZEEL,2007-02-28
"Ganesh Housing Corporation Limited",GANHSGFIN,GANESHHOUC,2007-03-02
"Himadri Speciality Chemical Limited",HIMADCHEM,HCIL,2007-03-02
"Somany Ceramics Limited",SPLLTD,SOMANYCERA,2007-03-21
"AstraZeneca Pharma India Limited",ASTRAIDL,ASTRAZEN,2007-04-10
"The Madras Aluminium Company Limited",MADRASALMN,MALCO,2007-04-12
"UFLEX Limited",FLEX,UFLEX,2007-04-17
"Entegra Limited",INDUJENERT,ENTEGRA,2007-04-25
"Chettinad Cement Corporation Limited",CHETNADCEM,CHETTINAD,2007-05-17
"Gujarat Apollo Industries Limited",GUJAPOLEQP,GUJAPOLIND,2007-06-04
"Birla Power Solutions Limited",BIRLAYAMAH,BIRLAPOWER,2007-06-06
"SIL Investments Limited",SUTLEJINDS,SILINV,2007-06-21
"Advani Hotels & Resorts (India) Limited",RAMADHOTEL,ADVANIHOTR,2007-06-25
"Gujarat Apollo Industries Limited",GUJAPOLIND,GUJAPOLLO,2007-07-06
"Hindustan Unilever Limited",HINDLEVER,HINDUNILVR,2007-07-19
"Ambuja Cements Limited",GUJAMBCEM,AMBUJACEM,2007-07-24
"W S Industries (I) Limited",WSIND,WSI,2007-08-01
"Deccan Cements Limited",DECCANCEM,DECCANCE,2007-08-02
"Jai Balaji Industries Limited",BALASPONGE,JAIBALAJI,2007-08-10
"Axis Bank Limited",UTIBANK,AXISBANK,2007-08-16
"De Nora India Limited",TITANOCOMP,DENORA,2007-08-20
"Hindalco Industries Limited",HINDALC0,HINDALCO,2007-08-27
"Srikalahasthi Pipes Limited",LANCOIND,LANCOIN,2007-08-28
"Nahar Poly Films Limited",NAHAREXPOT,NAHARINVST,2007-11-01
"Procter & Gamble Health Limited",EMERCK,MERCK,2007-11-05
"Gulf Oil Corporation Limited",IDLCHEM,GULFOILCOR,2007-11-08
"Glodyne Technoserve Limited",PARADYNE,GLODYNE,2007-11-19
"Mahindra Lifespace Developers Limited",GESCOCORP,MAHLIFE,2007-11-23
"NXTDIGITAL LIMITED",HINDUJATMT,HINDUJAVEN,2007-11-29
"Sterlite Technologies Limited",STROPTICAL,STRTECH,2007-12-17
"Genus Power Infrastructures Limited",GENUSOVERE,GENUSPOWER,2008-01-14
"Supreme Tex Mart Limited",SUPREMYARN,SUPREMETEX,2008-02-15
"IOL Netcom Limited",IOLB,IOLN,2008-02-18
"Jayaswal Neco Industries Limited",NAGPURENG,JAYNECOIND,2008-02-22
"SKIL Infrastructure Limited",HORIZONBAT,HORIZONINF,2008-02-22
"AMD Industries Limited",AMDMET,AMDIND,2008-02-25
"Era Infra Engineering Limited",ERACONS,ERAINFRA,2008-02-25
"Fame India Limited",SHRINGAR,FAME,2008-02-25
"Tata Communications Limited",VSNL,TATACOMM,2008-02-25
"Bosch Limited",MICO,BOSCHLTD,2008-02-28
"Olectra Greentech Limited",GOLDTELE,GOLDINFRA,2008-02-29
"Rain Industries Limited",PRIYADCEM,RAINCOM,2008-03-03
"Shalimar Paints Limited",SHALMPAINT,SHALPAINTS,2008-03-03
"Bajaj Holdings & Investment Limited",BAJAJAUTO,BAJAJHLDNG,2008-03-14
"Brabourne Enterprises Limited",RPGLS,BRABOURNE,2008-03-14
"Hinduja Foundries Limited",ENNOREFO,HINDUJAFO,2008-03-24
"3P Land Holdings Limited",PDUMJEAGRO,PDUMJEIND,2008-03-28
"EIH Associated Hotels Limited",OBERHOTEL,EIHAHOTELS,2008-04-08
"Summit Securities Limited",KECINFRA,SUMMIT,2008-04-21
"Digjam Limited",BVXL,DIGJAM,2008-04-28
"Piramal Glass Limited",GUJGLASS,PIRGLASS,2008-05-12
